column_name,data_type,description
date,date,Report date (YYYY-MM-DD). Primary time dimension for platform and device combined analysis.
property,varchar(256),GA4 property ID (e.g. properties/297809897). Identifies the GA4 account.
_fivetran_id,varchar(256),Fivetran-generated unique hash ID for the row. Used for deduplication.
device_category,longtext,Device category: desktop / mobile / tablet. Combined with platform for cross-analysis.
platform,longtext,Platform or operating system used (e.g. web / iOS / Android). Identifies the app or browser environment.
key_events,double,Number of key/conversion events recorded for this device + platform combination.
total_users,bigint,Total number of users for this device + platform combination.
event_count,bigint,Total GA4 events fired on this device + platform combination.
new_users,bigint,Number of first-time users for this device + platform combination.
engagement_rate,double,Ratio of engaged sessions to total sessions (0.0–1.0). Multiply by 100 for percentage.
engaged_sessions,bigint,Number of engaged sessions for this device + platform combination.
_fivetran_synced,timestamp(6),Timestamp when Fivetran last synced this row from the source.
total_revenue,bigint,Total revenue attributed to this device + platform combination (in account currency).
