column_name,data_type,description
_fivetran_id,varchar(256),"Fivetran-generated unique hash ID. Primary key for deduplication. Do not use as a business key."
all_desktop_page_views,int,"Total desktop page views across all page sections."
all_mobile_page_views,int,"Total mobile page views across all page sections."
all_page_views,int,"Total page views (desktop + mobile) across all page sections."
about_page_views,int,"Page views for the About section (desktop + mobile combined)."
careers_page_views,int,"Page views for the Careers section (desktop + mobile combined)."
products_page_views,int,"Page views for the Products section (desktop + mobile combined)."
jobs_page_views,int,"Page views for the Jobs section (desktop + mobile combined)."
people_page_views,int,"Page views for the People section (desktop + mobile combined)."
overview_page_views,int,"Page views for the Overview/Home section (desktop + mobile combined)."
life_at_page_views,int,"Page views for the Life At section (desktop + mobile combined)."
insights_page_views,int,"Page views for the Insights section (desktop + mobile combined)."
mobile_careers_page_views,int,"Mobile-only page views for the Careers section."
mobile_overview_page_views,int,"Mobile-only page views for the Overview/Home section."
mobile_jobs_page_views,int,"Mobile-only page views for the Jobs section."
mobile_life_at_page_views,int,"Mobile-only page views for the Life At section."
mobile_insights_page_views,int,"Mobile-only page views for the Insights section."
mobile_products_page_views,int,"Mobile-only page views for the Products section."
mobile_about_page_views,int,"Mobile-only page views for the About section."
mobile_people_page_views,int,"Mobile-only page views for the People section."
desktop_insights_page_views,int,"Desktop-only page views for the Insights section."
desktop_careers_page_views,int,"Desktop-only page views for the Careers section."
desktop_life_at_page_views,int,"Desktop-only page views for the Life At section."
desktop_jobs_page_views,int,"Desktop-only page views for the Jobs section."
desktop_people_page_views,int,"Desktop-only page views for the People section."
desktop_about_page_views,int,"Desktop-only page views for the About section."
desktop_overview_page_views,int,"Desktop-only page views for the Overview/Home section."
desktop_products_page_views,int,"Desktop-only page views for the Products section."
_organization_entity_urn,longtext,"LinkedIn org URN (e.g. urn:li:organization:65015275). Join to organization: CAST(REPLACE(_organization_entity_urn, 'urn:li:organization:', '') AS INTEGER) = organization.id"
geo_id,longtext,"Numeric geo region ID as string. Join to geo table: CAST(page_statistic_by_geo.geo_id AS INTEGER) = geo.id"
_fivetran_synced,timestamp(6),"Timestamp when Fivetran last synced this row. Internal metadata, never expose to users."
